NAME	B cell	T cell	ciliated columnar cell of tracheobronchial tree	classical monocyte	leukocyte	lung endothelial cell	myeloid cell	natural killer cell	stromal cell
BC005537	76.0931007456664	52.8830977734621	1	38.4837325098741	1	1	15.6775581464334	1	1
BC005561	119.675529796255	1	111.670310849296	1	1	68.5543758087819	1	1	23.3638288817869
BC013712	129.333513911223	1	1	154.365340581471	299.27676682835	1	66.448144623106	1	1
BC016423	1	1	1	1	1	1	38.372572686196	1	1
BC017643	1	1	1	106.407974663349	248.228072329658	1	97.1884878173272	1	1
BC022687	1	1	164.087533120472	1	1	1	1	1	1
BC023829	1	1	148.488791154233	1	1	159.211464593665	1	1	1
BC028528	1	1	1	232.372036810876	1	930.150992570396	99.4858587039967	1	1
BC029214	1	1	1	1	1	152.536170840346	1	1	1
BC032203	1	1	1	1	1	1	1	55.7934006289307	1
BC035044	246.453756820263	1	1	1	1	1	98.9168992689921	1	1
BC051019	1	1	722.960541508127	1	1	1	1	1	1
BC051226	1	1	1	35.3041176378744	1	1	1	1	1
BC147527	1	1	1	154.457662872432	1	1	200.873519212043	1	1
Baat1	1	1	1	1	1	1	68.4501196800255	1	1
Bace1	1	1	95.1252348218972	1	1	1	1	1	92.9338640309451
Bace2	1	1	1	1	1	1	1	1	133.488412526968
Bach1	1	1	1	111.698850991023	1	1	36.8769577295201	1	78.8884615832445
Bach2	108.35984908495	1	1	1	1	1	1	1	1
Bag2	1	1	151.334058571656	1	1	1	1	1	1
Bag3	1	1	1	1	1	157.149315294179	1	1	229.552040319433
Baiap2	1	1	360.399944292955	1	1	74.8823397365962	83.1366611192619	1	1
Baiap2l1	1	1	165.250050137231	1	1	1	1	1	1
Bank1	643.061465766226	1	1	1	1	1	1	1	1
Basp1	1	1	1	1	122.675686300243	1	105.733357262506	1	1
Batf3	1	1	1	63.5769980512231	1	1	57.2196290504382	1	1
Baz1a	71.8291198761106	122.818336876751	1	133.667027322445	1	1	94.7658954839831	228.364319645149	1
Baz1b	1	1	77.6500236267372	1	1	1	34.8869832053487	153.693936874575	63.4123471451153
Bbip1	1	1	31.3812873839911	1	121.956223434713	1	72.0302135057125	88.7497876337847	1
Bbs5	1	1	145.138420269848	1	1	1	1	1	1
Bcam	1	1	232.825816462525	1	1	607.423191634868	1	1	1
Bcar1	1	1	1	1	1	79.331011818156	1	1	1
Bckdk	1	146.218887939409	1	1	1	139.460018392257	87.3519146464033	1	127.767547624682
Bcl11a	1	1	1	1	1	1	81.4386153164145	1	1
Bcl11b	1	147.742439034071	1	1	1	1	1	1	1
Bcl2	332.227293637522	954.520579829344	1	1	1	1	56.986348460942	1535.21923984787	113.760467382505
Bcl2a1a	1	1	1	1	1	1	209.857041644201	1	1
Bcl2a1b	109.28619368896	1	1	1	1	1	203.910012532606	1	1
Bcl2a1d	1	1	1	1	1	1	277.05025187232	1	1
Bcl2l1	1	1	382.00020808668	1	1	587.711022634641	1	54.2995082265054	129.959923266876
Bcl3	373.410626843025	1	1	143.54217164276	1	1	73.5559243609741	43.2304734431895	1
Bcl7b	125.24471500108	1	64.1231378810501	1	23.8115719693534	1	71.4676859272097	256.098174703642	75.2830789590485
Bcl7c	1	72.2103113957804	42.5371175389942	1	1	1	26.8037303008567	27.3292633404021	1
Bcr	1	1	1	1	1	101.406875905584	1	1	1
Bdh1	1	29.5591837298831	1	1	1	1	1	1	1
Bdkrb1	1	1	1	1	1	1	1	1	104.467949047685
Bgn	1	1	1	1	1	183.863446757812	1	1	1969.37228583845
Bhlhe40	1	1	1	1	1	128.783252455379	247.063072861768	467.041437188933	122.508638873871
Bicc1	1	1	1	1	1	1	1	1	124.602450100633
Bicd2	1	1	1	1	1	182.754099568149	24.2225306602451	1	43.1443575354427
Bid	1	1	1	75.3874453893286	98.4376050539831	1	1	93.7964727967408	1
Bin1	447.836429542855	126.956656845168	1	61.942833000479	1	43.4731608052271	223.160694370309	199.286991349793	1
Bin3	1	1	36.1282871040196	208.662970406729	241.774807041494	49.3042931956692	222.772354574446	99.7562351900021	1
Birc3	146.271514234872	1	1	187.370169229902	264.749696527586	1	71.3066533927482	1	1
Blcap	1	1	1	1	1	1	43.1557981410535	30.3368154057811	1
Blk	313.767497640135	1	1	1	1	1	1	1	1
Blnk	642.323907609073	1	1	1	1	1	25.557637425535	1	1
Bmp2k	1	81.9487330108333	1	1	1	1	41.8599964106547	1	1
Bmp3	1	1	1	1	1	1	1	1	330.20614232789
Bmp4	1	1	1	1	1	217.521935869039	1	1	384.727580158638
Bmp5	1	1	1	1	1	1	1	1	202.883226372165
Bmp6	1	1	1	1	1	124.011129150967	1	1	1
Bmper	1	1	1	1	1	1	1	1	72.0660620205433
Bmpr2	1	1	1	1	1	410.72342417506	1	1	1
Bmx	1	1	1	1	178.807569998001	1	1	1	1
Bnip3	1	1	184.519853917923	1	1	1	1	1	173.206158127895
Bok	1	1	384.060324956059	1	1	104.655718294029	1	1	1
Bola1	1	1	135.906697256342	51.9917373448558	1	1	160.185709022586	1	155.296201026348
Bphl	1	1	914.69261167523	1	1	1	1	1	1
Bpnt1	1	1	315.435280536923	1	1	1	46.4784195006589	1	1
Brcc3	1	1	64.2401373435938	1	1	19.6898216703476	1	136.516073123218	1
Brf1	1	1	1	150.698617274973	1	64.4483653784207	1	1	1
Bri3bp	1	1	1	224.85140191374	71.8911596675276	1	134.527633547086	1	1
Brms1	1	102.968227569842	59.4219761264927	1	1	56.181710736778	92.796777703691	1	1
Brox	1	1	1	1	1	56.7127123052998	1	1	1
Brpf1	1	1	1	1	1	93.8689015773359	23.4354962498039	1	1
Brwd1	139.117536816699	1	1	1	1	1	12.1902948499094	1	42.029713728179
Bscl2	1	1	53.2828607002779	268.933437609889	1	1	235.109129076053	142.208441561202	130.928902557689
Bsdc1	1	1	1	1	1	1	1	47.646374267383	1
Bspry	1	1	275.214892928445	1	1	1	1	1	1
Bst1	1	1	1	1	350.004141221958	1	1	1	1
Bst2	1	49.831287666434	1	118.035998297188	1	546.136228137002	806.671288339002	37.8980129849339	87.2759551192274
Btbd1	1	102.844627769628	34.0818390198619	1	1	1	65.9327605130766	83.4903717075966	20.5110990408426
Btbd3	1	1	1	1	1	126.006911528761	1	1	63.4173213659414
Btbd9	1	1	1	1	1	1	7.54614911852766	101.513743291902	47.4589619208502
Btk	174.602609320276	1	1	1	1	1	17.7743932656577	1	1
Btnl9	1	1	1	1	1	88.2235941868585	1	1	1
Bzw2	1	74.5772523650921	1	1	1	1	41.6302659257043	107.793222812159	1
